region,installation,RPUID,use_code,use_desc,fac_use,naf_cat,op_activity,fac_num,facility_desc,asset_name,fci,fci_dt,build_dt,q_rating,total_measure,alt_total_measure,other_total_measure,other_unit_measure,fac_area_measure,prv,sus,RM,use_pct_area,RM_corrected,recap_cycle
MCIEAST,MCAS Cherry Point,21140,75020,PLAYING FIELDS,PLAYING FIELDS,B,Semper Fit Programs,4395,Athletic Field,(MCCS) BALL FIELD (RED),93,2015-08-20,1992-07-24,Q1,0,0,1,EA,1,1468497,7947.66,38959.51911,1,38959.51911,6
MCIEAST,MCAS Cherry Point,19306,75057,MWR OPERATED RECREATION GROUNDS,RECREATION GROUNDS,A,Marine & Family Programs,3928,Outdoor Recreation Area,(MCCS) BARNS BARTLETT POND/REC AREA,80,2015-08-20,1981-04-28,Q2,0,0,1,EA,1,26619,1190.28,706.2073938,1,706.2073938,10
MCIEAST,MCAS Cherry Point,1229720,75010,OUTDOOR PLAYING COURTS,OUTDOOR PLAYING COURTS,B,Semper Fit Programs,4882,Outdoor Playing Court,(MCCS) BASKETBALL COURT NORTH,100,2015-07-27,2015-07-24,Q1,0,0,1,EA,1,197555,2917.26,5241.173661,1,5241.173661,6
MCIEAST,MCAS Cherry Point,14054,75010,OUTDOOR PLAYING COURTS,,B,Semper Fit Programs,3952,Outdoor Playing Court,(MCCS) BASKETBALL COURTS (NUGENT COVE),80,2015-08-20,1982-04-30,Q2,0,0,1,EA,1,197555,2917.26,5241.173661,1,5241.173661,6
MCIEAST,MCAS Cherry Point,989002,75010,OUTDOOR PLAYING COURTS,BASKETBALL COURTS,B,Semper Fit Programs,4837,Outdoor Playing Court,(MCCS) BASKETBALL COURTS AT 3542,90,2015-08-20,2009-02-19,Q1,0,0,3,EA,13600,592664,8751.77,15723.49445,1,15723.49445,6
MCIEAST,MCAS Cherry Point,21093,74089,BATHHOUSE,BATHHOUSE,C,Marine & Family Programs,3552,Public Restroom/Shower,(MCCS) BATHHOUSE-CEDAR CREEK POOL,80,2015-08-20,1971-09-01,Q2,2054.18,0,0,,2054.18,475542,14613.32,12616.22437,1,12616.22437,9
MCIEAST,MCAS Cherry Point,19579,74087,MARINA SUPPORT BUILDING,,B,Commercial Recreation,4277,Boathouse,(MCCS) BOATHOUSE SLOCUM,77,2016-02-01,1989-03-10,Q3,2529,0,0,,2529,108969,3378.37,2890.969364,1,2890.969364,8
MCIEAST,MCAS Cherry Point,21092,75030,OUTDOOR SWIMMING POOL - INSTALLATION,,B,Semper Fit Programs,3551,Outdoor Swimming Pool,(MCCS) CEDAR CREEK SWIMMING POOL,80,2015-08-20,1971-09-01,Q2,9591,25,1,EA,9591,1292047,15225.21,34278.26532,1,34278.26532,7
MCIEAST,MCAS Cherry Point,1173591,75020,PLAYING FIELDS,PLAYING FIELDS,B,Semper Fit Programs,4940,Athletic Field,(MCCS) CFT FIELD,90,2015-08-20,2012-11-07,Q1,0,0,1,EA,1,1468497,7947.66,38959.51911,1,38959.51911,6
MCIEAST,MCAS Cherry Point,22252,74055,YOUTH (6-18YRS) AND SCHOOL AGE CHILDREN (SAC) (6-12YRS),RECREATION CENTER,B,Children & Youth Programs,4415,Recreation Center,(MCCS) CHERRY TREEHOUSE,84,2016-02-08,1996-02-02,Q2,18496,0,0,,18496,4269833,124912.26,113279.5235,1,113279.5235,13
MCIEAST,MCAS Cherry Point,19599,74074,CHILD DEVELOPMENT CENTER,CHILD DEVELOPMENT CENTER,B,Children & Youth Programs,4298,Nursery and Child Care Facility,(MCCS) CHILD CARE CENTER,89,2010-05-17,1990-04-15,Q2,18775,0,0,,18775,5751695,64493.03,152593.6187,1,152593.6187,11
MCIEAST,MCAS Cherry Point,1081832,74074,CHILD DEVELOPMENT CENTER,CHILD DEVELOPMT CENTER,B,Children & Youth Programs,4859,Nursery and Child Care Facility,(MCCS) CHILD DEVELOPMENT CENTER,94,2016-02-04,2011-01-13,Q1,13485,0,0,,13485,4131111,46321.62,109599.2011,1,109599.2011,11
MCIEAST,MCAS Cherry Point,14333,74074,CHILD DEVELOPMENT CENTER,CHILD DEVELOPMT CENTER,B,Children & Youth Programs,4629,Nursery and Child Care Facility,(MCCS) CHILD DEVELOPMENT CENTER-2,91,2016-01-20,2001-04-26,Q1,25490,0,0,,25490,7808826,87559.37,207169.7155,1,207169.7155,11
MCIEAST,MCAS Cherry Point,18320,75030,OUTDOOR SWIMMING POOL - INSTALLATION,WADING POOL,B,Semper Fit Programs,3259,Outdoor Swimming Pool,(MCCS) CHILDREN'S POOL-HANCOCK,80,2015-08-20,1955-06-01,Q2,1875,23,1,EA,1875,1292047,15225.21,34278.26532,1,34278.26532,7
MCIEAST,MCAS Cherry Point,19803,74001,EXCHANGE RETAIL STORE,LOCATION EXCHGE / CAT-C,C,Exchange Operations,4505,Exchange Sales Facility,(MCCS) CONCESSION CENTER-EXCHANGE,85,2016-01-07,1998-05-15,Q2,11304,0,0,,11304,1652887,39309.16,43851.42269,1,43851.42269,7
MCIEAST,MCAS Cherry Point,1066055,74067,ALL HANDS CLUB,CAT-C,C,Clubs,4843,Open Mess and Club Facility,(MCCS) CONSOLIDATED CLUB,91,2016-01-11,2010-08-25,Q1,21580,0,0,,21580,5396144,156035.57,143160.7795,1,143160.7795,11
MCIEAST,MCAS Cherry Point,,74044,INDOOR PHYSICAL FITNESS CENTER (GYM),INDOOR PHYSICAL FIT CTR,A,Semper Fit Programs,T4855,Indoor Physical Fitness Facility,(MCCS) DD FITNESS CENTER MOD EXT.,100,2016-07-01,,Q1,2460,0,0,,2460,,0,,1,0,11
MCIEAST,MCAS Cherry Point,17541,74044,INDOOR PHYSICAL FITNESS CENTER (GYM),INDOOR PHYSICAL FIT CTR,A,Semper Fit Programs,4322,Indoor Physical Fitness Facility,(MCCS) DEVIL DOG GYM,89,2016-01-28,1989-09-01,Q2,11533,0,0,,11533,3665183,55022.79,97238.03803,1,97238.03803,11
MCIEAST,MCAS Cherry Point,18310,75056,GOLF DRIVING RANGE,CAT-C,C,Commercial Recreation,3238,Golf Driving Range,(MCCS) DRIVING RANGE GOLF,80,2015-08-20,1951-05-01,Q2,0,0,1,EA,1,263722,8082.33,6996.597404,1,6996.597404,7
MCIEAST,MCAS Cherry Point,19307,75057,MWR OPERATED RECREATION GROUNDS,RECREATION GROUNDS,A,Marine & Family Programs,3929,Outdoor Recreation Area,(MCCS) DUCK POND PICNIC AREA,80,2015-08-20,1981-04-28,Q2,0,0,1,EA,1,26619,1190.28,706.2073938,1,706.2073938,10
MCIEAST,MCAS Cherry Point,20650,74016,EXCHANGE MAINTENANCE SHOP,CAT-A,C,Exchange Operations,1672,Exchange Support Facility,(MCCS) EXCHANGE MAINT SHOP,67,2016-01-28,1959-07-01,Q3,8712,0,0,,8712,954298,45905.22,25317.7168,1,25317.7168,13
MCIEAST,MCAS Cherry Point,19298,74001,EXCHANGE RETAIL STORE,EXCH RETAIL STORE / CAT-C,C,Exchange Operations,3918,Exchange Sales Facility,(MCCS) EXCHANGE RETAIL/COMMISARY,79,2016-09-01,1982-04-10,Q3,58539,0,0,,174388,29481070,203566.8,782138.6833,0.335682501,262550.2694,7
MCIEAST,MCAS Cherry Point,19298,74003,EXCHANGE CENTRAL ADMINISTRATION,EXCH CENTRL ADMIN / CAT-C,C,Exchange Operations,3918,Exchange Support Facility,(MCCS) EXCHANGE RETAIL/COMMISARY,79,2016-09-01,1982-04-10,Q3,33304,0,0,,174388,29481070,175485.24,782138.6833,0.190976443,149370.0639,13
MCIEAST,MCAS Cherry Point,19298,74009,"EXCHANGE SERVICE OUTLETS (BARBER, UNIFORM, ETC)",EXCH SERV OUTLETS / CAT-C,C,Exchange Operations,3918,Exchange Sales Facility,(MCCS) EXCHANGE RETAIL/COMMISARY,79,2016-09-01,1982-04-10,Q3,17487,0,0,,174388,29481070,60810.27,782138.6833,0.100276395,78430.04768,13
MCIEAST,MCAS Cherry Point,19298,74085,EXCHANGE DISTRIBUTION CENTER ( WAREHOUSE),EXCHGE DIST CTR (WRHSE),C,Exchange Operations,3918,Exchange Warehouse,(MCCS) EXCHANGE RETAIL/COMMISARY,79,2016-09-01,1982-04-10,Q3,11966,0,0,,174388,29481070,29686.07,782138.6833,0.068617107,53668.09347,11
MCIEAST,MCAS Cherry Point,22131,74004,EXCHANGE / MWR FOOD SERVICE,RICE KING / CAT-C,C,Food & Beverage (Direct),4535,Exchange Eating Facility,(MCCS) EXCHANGE SERVICE BLDG,91,2010-07-04,1998-06-26,Q1,17113,0,0,,24315,8559822,122103.75,227093.7896,0.703804236,159829.5711,7
MCIEAST,MCAS Cherry Point,1173681,75020,PLAYING FIELDS,PLAYING FIELDS,B,Semper Fit Programs,4941,Athletic Field,(MCCS) FOOTBALL FIELD (LANDHAM AREA),90,2015-08-20,2012-11-07,Q1,0,0,1,EA,1,1468497,7947.66,38959.51911,1,38959.51911,6
MCIEAST,MCAS Cherry Point,21501,12330,VEHICLE AND EQUIPMENT READY FUEL STORAGE,,C,Exchange Operations,4474,Vehicle Operating Fuel Storage,(MCCS) FUEL TANK (GAS STATION-4472),92,2015-08-20,1996-04-01,Q1,0,0,24500,GA,1500,134017,27013.9,3555.497813,1,3555.497813,9
MCIEAST,MCAS Cherry Point,1382385,12330,VEHICLE AND EQUIPMENT READY FUEL STORAGE,VEH & EQUIP RDY FUEL STOR,C,Exchange Operations,6003,Vehicle Operating Fuel Storage,(MCCS) FUEL TANK 1 (GAS STATION-4505),69,2021-06-15,1998-05-15,Q3,0,0,10000,GA,10000,54701,11026.08,1451.22847,1,1451.22847,9
MCIEAST,MCAS Cherry Point,1382387,12330,VEHICLE AND EQUIPMENT READY FUEL STORAGE,VEH & EQUIP RDY FUEL STOR,C,Exchange Operations,6004,Vehicle Operating Fuel Storage,(MCCS) FUEL TANK 2 (GAS STATION-4505,69,2021-06-15,1998-05-15,Q3,0,0,10000,GA,10000,54701,11026.08,1451.22847,1,1451.22847,9
MCIEAST,MCAS Cherry Point,1382455,12330,VEHICLE AND EQUIPMENT READY FUEL STORAGE,VEH & EQUIP RDY FUEL STOR,C,Exchange Operations,6005,Vehicle Operating Fuel Storage,(MCCS) FUEL TANK 3 (GAS STATION-4505),69,2021-06-15,1998-05-15,Q3,0,0,10000,GA,10000,54701,11026.08,1451.22847,1,1451.22847,9
MCIEAST,MCAS Cherry Point,18315,75010,OUTDOOR PLAYING COURTS,PLAYING COURT,B,Semper Fit Programs,3246,Outdoor Playing Court,(MCCS) FUTSAL/TENNIS COURTS,80,2015-08-20,1943-07-01,Q2,0,0,3,EA,3,592664,8751.77,15723.49445,1,15723.49445,6
MCIEAST,MCAS Cherry Point,21500,74001,EXCHANGE RETAIL STORE,MINI-MART/GAS STN / CAT-C,C,Exchange Operations,4472,Exchange Sales Facility,(MCCS) GAS STATION,78,2016-01-19,1996-04-01,Q3,7909,0,0,,7909,1156465,27503.2,30681.24774,1,30681.24774,7
MCIEAST,MCAS Cherry Point,21262,74080,GOLF CLUBHOUSE,GOLF CLUBHOUSE / CAT-C,C,Commercial Recreation,4222,Golf Club House and Sales,(MCCS) GOLF CART STORAGE (DRIVING RANGE),86,2016-01-11,1987-04-13,Q2,2554,0,0,,2554,481013,21499.54,12761.37109,1,12761.37109,13
MCIEAST,MCAS Cherry Point,21096,74080,GOLF CLUBHOUSE,GOLF CLUB HOUSE / CAT-C,C,Commercial Recreation,3566,Golf Club House and Sales,(MCCS) GOLF CART STORAGE (DRIVING RANGE),86,2016-01-11,1972-02-01,Q2,2310,0,0,,2310,435059,19445.55,11542.20228,1,11542.20228,13
MCIEAST,MCAS Cherry Point,21097,74080,GOLF CLUBHOUSE,GOLF CLUB HOUSE / CAT-C,C,Commercial Recreation,3570,Golf Club House and Sales,(MCCS) GOLF CLUBHOUSE,83,2016-01-12,1972-06-01,Q2,7479,0,0,,7479,1408574,62958.13,37369.74993,1,37369.74993,13
MCIEAST,MCAS Cherry Point,18309,75040,GOLF COURSE,CAT-C,C,Commercial Recreation,3237,Golf Course,(MCCS) GOLF COURSE,80,2015-08-20,1945-07-01,Q2,0,18,1,EA,18,3807748,78076.84,101020.316,1,101020.316,6
MCIEAST,MCAS Cherry Point,20069,74080,GOLF CLUBHOUSE,GOLF CLUB HOUSE / CAT-C,C,Commercial Recreation,4813,Golf Club House and Sales,(MCCS) GOLF MAINTENANCE FACILITY,87,2016-02-10,2007-07-11,Q2,2400,0,0,,2400,452009,20203.17,11991.88917,1,11991.88917,13
MCIEAST,MCAS Cherry Point,1271475,74077,MWR READY ISSUE / SHOP STORES / MISC STORAGE,MWR READY STOR,B,Other Business Operations,561,"Covered Storage Building, Installation",(MCCS) GROUNDS MAINTENANCE SHED,100,2016-05-04,2014-04-01,Q1,1200,0,0,,1200,485951,3804,12892.37722,1,12892.37722,11
MCIEAST,MCAS Cherry Point,19144,74081,MWR RENTAL ACCOMMODATIONS,CAT-B,C,Commercial Recreation,4431,Recreational Lodging,(MCCS) HANCOCK LODGE,89,2016-02-12,1995-07-01,Q2,3118,0,100,EA,3118,445118,14974.84,11809.06956,1,11809.06956,7
MCIEAST,MCAS Cherry Point,18319,74089,BATHHOUSE,BATHHOUSE,C,Marine & Family Programs,3258,Public Restroom/Shower,(MCCS) HANCOCK POOL BATHHOUSE,84,2016-01-12,1955-06-01,Q2,6366,0,0,,9616,2506575,45287.35,66499.93607,0.662021631,44024.39611,9
MCIEAST,MCAS Cherry Point,18319,74045,FITNESS ROOM,FITNESS ROOM,A,Semper Fit Programs,3258,Indoor Physical Fitness Facility,(MCCS) HANCOCK POOL BATHHOUSE,84,2016-01-12,1955-06-01,Q2,3250,0,0,,9616,2506575,15505.43,66499.93607,0.337978369,22475.53996,11
MCIEAST,MCAS Cherry Point,20070,75030,OUTDOOR SWIMMING POOL - INSTALLATION,OUTDOOR SWIM POOL,B,Semper Fit Programs,482,Outdoor Swimming Pool,(MCCS) HANCOCK SWIMMING POOL,80,2015-08-20,1944-07-01,Q2,24472,50,1,EA,24472,1292047,15225.21,34278.26532,1,34278.26532,7
MCIEAST,MCAS Cherry Point,1090981,75110,PLAYGROUNDS,COMMUNITY PLAYGROUNDS,B,Children & Youth Programs,4880,Playground,(MCCS) HCP PLAYGROUND - (LANHAM REC AREA),97,2015-08-20,2010-04-01,Q1,0,0,1,EA,6050,285488,3574.57,7574.053738,1,7574.053738,7
MCIEAST,MCAS Cherry Point,21229,74090,MWR EQUIPMENT MAINTENANCE SHOP,MWR EQUIP MAINT SHOP,B,Semper Fit Programs,3294,Recreational Support Building,(MCCS) MAINT EQUIPMENT STORAGE,74,2016-01-07,1959-08-01,Q3,96,0,0,,96,10713,194.4,284.2180326,1,284.2180326,10
MCIEAST,MCAS Cherry Point,21172,74025,FAMILY SERVICES CENTER,FAMILY SERVICE CENTER,A,Marine & Family Programs,232,Family Service Center,(MCCS) MARINE & FAMILY PROGRAMS,95,2016-01-21,1945-07-01,Q1,20316,0,0,,20316,4630748,120187.75,122854.6706,1,122854.6706,13
MCIEAST,MCAS Cherry Point,20137,74044,INDOOR PHYSICAL FITNESS CENTER (GYM),INDOOR PHYSICAL FITNESS CTR,A,Semper Fit Programs,287,Indoor Physical Fitness Facility,(MCCS) MARINE DOME,63,2016-01-12,1945-07-01,Q3,46413,0,0,,46413,14750033,221431.78,391321.3255,1,391321.3255,11
MCIEAST,MCAS Cherry Point,21231,75020,PLAYING FIELDS,PLAYING FIELD,B,Semper Fit Programs,3303,Athletic Field,(MCCS) MULTI  PLAY FD SOC/ RUG/FB,80,2015-08-20,1949-08-01,Q2,0,0,1,EA,91650,1468497,7947.66,38959.51911,1,38959.51911,6
MCIEAST,MCAS Cherry Point,20621,75010,OUTDOOR PLAYING COURTS,OUTDOOR PLAYING COURTS,B,Semper Fit Programs,3189,Outdoor Playing Court,(MCCS) MULTI PLAYING COURT (HOCKEY RINK),80,2015-08-20,1943-09-01,Q2,0,0,1,EA,1,197555,2917.26,5241.173661,1,5241.173661,6
MCIEAST,MCAS Cherry Point,1273052,74077,MWR READY ISSUE / SHOP STORES / MISC STORAGE,MWR READY STOR,B,Other Business Operations,4927,"Covered Storage Building, Installation",(MCCS) MWR READY ISSUE/MISC STORAGE,100,2016-05-24,2016-05-23,Q1,1240,0,0,,1240,502150,3930.8,13322.13993,1,13322.13993,11
MCIEAST,MCAS Cherry Point,,74077,MWR READY ISSUE / SHOP STORES / MISC STORAGE,MWR READY STOR,B,Other Business Operations,T558,"Covered Storage Building, Installation",(MCCS) OLD PAINTBALL  BLDG,100,2016-07-01,,Q1,260,0,0,,260,0,0,0,1,0,11
MCIEAST,MCAS Cherry Point,19525,74037,MWR OUTDOOR RECREATION CENTER,CAT-B,B,Commercial Recreation,162,MWR Sales and Rental Building,(MCCS) OUTDOOR CONNECTION,33,2010-05-06,1943-07-01,Q4,11858,0,0,,11858,2084958,62356.38,55314.35273,1,55314.35273,11
MCIEAST,MCAS Cherry Point,,74077,MWR READY ISSUE / SHOP STORES / MISC STORAGE,MWR READY STOR,B,Other Business Operations,T559,"Covered Storage Building, Installation",(MCCS) PAINTBALL SHED,100,2016-07-01,,Q1,308,0,0,,308,,0,,1,0,11
MCIEAST,MCAS Cherry Point,1165463,75059,RECREATIONAL CAMPGROUND,REC CMPGRND - RV / CAT-C,C,Commercial Recreation,4908,Recreational Camp and Trailer Park,(MCCS) PELICAN POINT RV PARK CAMPGROUND,100,2015-08-20,2013-04-01,Q1,6.3,1,0,,6.3,438530,19160.91,11634.28861,1,11634.28861,10
MCIEAST,MCAS Cherry Point,1165462,74092,MWR RV PARK SUPPORT BUILDING,MWR RV SUPRT BLDG / CAT-C,C,Commercial Recreation,4906,Transient And Recreational Lodging Support Facility,(MCCS) PELICAN POINT RV PARK OFFICE BLDG,94,2016-01-11,2013-04-01,Q1,601,0,0,,601,22900,1115.07,607.54158,1,607.54158,14
MCIEAST,MCAS Cherry Point,43028,74078,RECREATION PAVILION,PICNIC SHELTER,A,Marine & Family Programs,8523,Pavilion,(MCCS) PICNIC SHELTER,80,2015-08-20,1977-07-01,Q2,528,0,0,,528,56990,248.88,1511.956098,1,1511.956098,9
MCIEAST,MCAS Cherry Point,43027,74078,RECREATION PAVILION,PICNIC SHELTER,A,Marine & Family Programs,8522,Pavilion,(MCCS) PICNIC SHELTER,80,2015-08-20,1977-07-01,Q2,700,0,0,,700,75555,329.96,2004.489261,1,2004.489261,9
MCIEAST,MCAS Cherry Point,43026,74078,RECREATION PAVILION,PICNIC SHELTER,A,Marine & Family Programs,8521,Pavilion,(MCCS) PICNIC SHELTER,80,2015-08-20,1977-07-01,Q2,700,0,0,,700,75555,329.96,2004.489261,1,2004.489261,9
MCIEAST,MCAS Cherry Point,43018,74078,RECREATION PAVILION,PICNIC SHELTER,A,Marine & Family Programs,8501,Pavilion,(MCCS) PICNIC SHELTER,80,2015-08-20,1977-07-01,Q2,700,0,0,,700,75555,329.96,2004.489261,1,2004.489261,9
MCIEAST,MCAS Cherry Point,22137,74078,RECREATION PAVILION,CAT - A,A,Marine & Family Programs,4541,Pavilion,(MCCS) PICNIC SHELTER (STAFF HSG/ORD AREA),95,2015-08-20,1997-07-01,Q1,540,0,0,,540,67454,297.7,1789.568111,1,1789.568111,9
MCIEAST,MCAS Cherry Point,18297,75020,PLAYING FIELDS,PLAYING FIELD,B,Semper Fit Programs,3192,Athletic Field,(MCCS) PLAYING FIELD (CAR SALES LOT),80,2015-08-20,1944-07-01,Q2,0,0,1,EA,1,1468497,7947.66,38959.51911,1,38959.51911,6
MCIEAST,MCAS Cherry Point,18298,75020,PLAYING FIELDS,PLAYING FIELD,B,Semper Fit Programs,3193,Athletic Field,(MCCS) PLAYING FIELD (WHITE),80,2015-08-20,1943-07-01,Q2,0,0,1,EA,1,1468497,7947.66,38959.51911,1,38959.51911,6
MCIEAST,MCAS Cherry Point,1261981,75033,POOL PUMP / FILTER / TREATMENT FACILITY,DETACHED POOL FACILITY,B,Semper Fit Programs,3563PS,Miscellaneous Outdoor Recreation Facility,(MCCS) POOL PUMP-CEDAR CREEK,100,2016-01-21,1971-09-01,Q1,322,0,1,EA,322,35933,652.04,953.3096766,1,953.3096766,10
MCIEAST,MCAS Cherry Point,19914,75061,RECREATIONAL PIER,,C,Commercial Recreation,4372,Recreational Pier,(MCCS) REC PIER (ROOSEVELT/NW RW14),92,2015-08-20,1990-07-01,Q1,0,201,1,EA,201,11609,598.85,307.9890918,1,307.9890918,8
MCIEAST,MCAS Cherry Point,19915,75061,RECREATIONAL PIER,,C,Commercial Recreation,4373,Recreational Pier,(MCCS) REC PIER (SUNSET/NW RW14),92,2015-08-20,1991-10-23,Q1,0,116.75,1,EA,116.75,11609,598.85,307.9890918,1,307.9890918,8
MCIEAST,MCAS Cherry Point,14056,75061,RECREATIONAL PIER,,C,Commercial Recreation,3954,Recreational Pier,(MCCS) REC PIER SLOCUM,80,2015-08-20,1982-02-10,Q2,0,54,1,EA,54,11609,598.85,307.9890918,1,307.9890918,8
MCIEAST,MCAS Cherry Point,21234,74078,RECREATION PAVILION,RECREATION PAV,A,Marine & Family Programs,3312,Pavilion,(MCCS) RECREATION PAV,80,2015-08-20,1952-07-01,Q2,1300,0,0,,1300,162389,716.7,4308.212648,1,4308.212648,9
MCIEAST,MCAS Cherry Point,1271336,74078,RECREATION PAVILION,RECREATION PAVILION,A,Marine & Family Programs,3320,Pavilion,(MCCS) RECREATION PAVILION,100,2016-05-03,2015-04-01,Q1,600,0,0,,600,74949,330.78,1988.41196,1,1988.41196,9
MCIEAST,MCAS Cherry Point,21237,74078,RECREATION PAVILION,RECREATION PAV,A,Marine & Family Programs,3318,Pavilion,(MCCS) RECREATION PAVILION,80,2015-08-20,1970-05-01,Q2,3850,0,0,,3850,480920,2122.52,12758.90378,1,12758.90378,9
MCIEAST,MCAS Cherry Point,1158814,74078,RECREATION PAVILION,RECREATION PAVILION,A,Marine & Family Programs,4936,Pavilion,(MCCS) RECREATION PAVILION (LANHAM FIELD),90,2015-08-20,2013-02-12,Q1,1550.52,0,0,,1550.52,193682,854.81,5138.422196,1,5138.422196,9
MCIEAST,MCAS Cherry Point,19304,75057,MWR OPERATED RECREATION GROUNDS,RECREATION GROUNDS,A,Marine & Family Programs,3926,Outdoor Recreation Area,(MCCS) SHADY GROVE REC GROUNDS A,80,2015-08-20,1981-04-28,Q2,0,0,1,EA,1,26619,1190.28,706.2073938,1,706.2073938,10
MCIEAST,MCAS Cherry Point,19305,75057,MWR OPERATED RECREATION GROUNDS,RECREATION GROUNDS,A,Marine & Family Programs,3927,Outdoor Recreation Area,(MCCS) SHADY GROVE REC GROUNDS B,80,2015-08-20,1981-04-28,Q2,0,0,1,EA,1,26619,1190.28,706.2073938,1,706.2073938,10
MCIEAST,MCAS Cherry Point,19134,75020,PLAYING FIELDS,PLAYING FIELDS,B,Semper Fit Programs,4420,Athletic Field,(MCCS) SOFTBALL FIELD (GOLD),94,2015-08-20,1994-05-10,Q1,0,0,1,EA,1,1468497,7947.66,38959.51911,1,38959.51911,6
MCIEAST,MCAS Cherry Point,1261980,75030,OUTDOOR SWIMMING POOL - INSTALLATION,WADING POOL / SPLASH PL,B,Semper Fit Programs,3553,Outdoor Swimming Pool,(MCCS) SPLASH POOL-CEDAR CREEK,100,2016-01-21,1971-09-01,Q1,484,7,1,EA,484,1292047,15225.21,34278.26532,1,34278.26532,7
MCIEAST,MCAS Cherry Point,19583,75010,OUTDOOR PLAYING COURTS,OUTDOOR PLAYING COURTS,B,Semper Fit Programs,4281,Outdoor Playing Court,(MCCS) TENNIS COURT,91,2015-08-20,1988-07-01,Q1,0,0,2,EA,2,395110,5834.51,10482.34732,1,10482.34732,6
MCIEAST,MCAS Cherry Point,17523,74004,EXCHANGE / MWR FOOD SERVICE,INST REST (MWR) / CAT - C,C,Food & Beverage (Direct),3542,Exchange Eating Facility,(MCCS) THE ROAD HOUSE,65,2016-01-28,1970-12-01,Q3,3227,0,0,,19185,4932610,23025.12,130863.1298,0.168204326,22011.74459,7
MCIEAST,MCAS Cherry Point,17523,74042,COMMUNITY RECREATION CENTER,MWR REC CENTER,A,Semper Fit Programs,3542,Recreation Center,(MCCS) THE ROAD HOUSE,65,2016-01-28,1970-12-01,Q3,14283,0,0,,19185,4932610,96459.87,130863.1298,0.744487881,97426.01424,13
